lon,lat,extrapolacao,cenario,classe
-60.083333333333336,3.416666666666669,1,ssp126,Com extrapolação
-59.91666666666667,3.416666666666669,1,ssp126,Com extrapolação
-51.91666666666667,3.416666666666669,0,ssp126,Sem extrapolação
-51.75,3.416666666666669,0,ssp126,Sem extrapolação
-51.583333333333336,3.416666666666669,0,ssp126,Sem extrapolação
-51.41666666666667,3.416666666666669,1,ssp126,Com extrapolação
-51.25,3.416666666666669,1,ssp126,Com extrapolação
-63.91666666666667,3.2500000000000027,1,ssp126,Com extrapolação
-63.75,3.2500000000000027,1,ssp126,Com extrapolação
-63.583333333333336,3.2500000000000027,1,ssp126,Com extrapolação
-63.41666666666667,3.2500000000000027,0,ssp126,Sem extrapolação
-63.25,3.2500000000000027,1,ssp126,Com extrapolação
-63.083333333333336,3.2500000000000027,1,ssp126,Com extrapolação
-62.91666666666667,3.2500000000000027,1,ssp126,Com extrapolação
-62.75,3.2500000000000027,1,ssp126,Com extrapolação
-62.583333333333336,3.2500000000000027,1,ssp126,Com extrapolação
-62.41666666666667,3.2500000000000027,1,ssp126,Com extrapolação
-62.25,3.2500000000000027,1,ssp126,Com extrapolação
-62.083333333333336,3.2500000000000027,1,ssp126,Com extrapolação
-61.91666666666667,3.2500000000000027,0,ssp126,Sem extrapolação
-61.75,3.2500000000000027,0,ssp126,Sem extrapolação
-61.583333333333336,3.2500000000000027,0,ssp126,Sem extrapolação
-61.41666666666667,3.2500000000000027,0,ssp126,Sem extrapolação
-61.25,3.2500000000000027,0,ssp126,Sem extrapolação
-61.083333333333336,3.2500000000000027,0,ssp126,Sem extrapolação
-60.91666666666667,3.2500000000000027,1,ssp126,Com extrapolação
-60.75,3.2500000000000027,1,ssp126,Com extrapolação
-60.583333333333336,3.2500000000000027,1,ssp126,Com extrapolação
-60.41666666666667,3.2500000000000027,1,ssp126,Com extrapolação
-60.25,3.2500000000000027,1,ssp126,Com extrapolação
-60.083333333333336,3.2500000000000027,1,ssp126,Com extrapolação
-52.083333333333336,3.2500000000000027,1,ssp126,Com extrapolação
-51.91666666666667,3.2500000000000027,0,ssp126,Sem extrapolação
-51.75,3.2500000000000027,0,ssp126,Sem extrapolação
-51.583333333333336,3.2500000000000027,0,ssp126,Sem extrapolação
-51.41666666666667,3.2500000000000027,0,ssp126,Sem extrapolação
-51.25,3.2500000000000027,0,ssp126,Sem extrapolação
-63.91666666666667,3.0833333333333357,1,ssp126,Com extrapolação
-63.75,3.0833333333333357,1,ssp126,Com extrapolação
-63.583333333333336,3.0833333333333357,1,ssp126,Com extrapolação
-63.41666666666667,3.0833333333333357,0,ssp126,Sem extrapolação
-63.25,3.0833333333333357,0,ssp126,Sem extrapolação
-63.083333333333336,3.0833333333333357,1,ssp126,Com extrapolação
-62.91666666666667,3.0833333333333357,1,ssp126,Com extrapolação
-62.75,3.0833333333333357,1,ssp126,Com extrapolação
-62.583333333333336,3.0833333333333357,1,ssp126,Com extrapolação
-62.41666666666667,3.0833333333333357,1,ssp126,Com extrapolação
-62.25,3.0833333333333357,0,ssp126,Sem extrapolação
-62.083333333333336,3.0833333333333357,0,ssp126,Sem extrapolação
-61.91666666666667,3.0833333333333357,0,ssp126,Sem extrapolação
-61.75,3.0833333333333357,0,ssp126,Sem extrapolação
-61.583333333333336,3.0833333333333357,0,ssp126,Sem extrapolação
-61.41666666666667,3.0833333333333357,0,ssp126,Sem extrapolação
-61.25,3.0833333333333357,1,ssp126,Com extrapolação
-61.083333333333336,3.0833333333333357,1,ssp126,Com extrapolação
-60.91666666666667,3.0833333333333357,1,ssp126,Com extrapolação
-60.75,3.0833333333333357,1,ssp126,Com extrapolação
-60.583333333333336,3.0833333333333357,1,ssp126,Com extrapolação
-60.41666666666667,3.0833333333333357,1,ssp126,Com extrapolação
-60.25,3.0833333333333357,1,ssp126,Com extrapolação
-60.083333333333336,3.0833333333333357,1,ssp126,Com extrapolação
-52.083333333333336,3.0833333333333357,0,ssp126,Sem extrapolação
-51.91666666666667,3.0833333333333357,0,ssp126,Sem extrapolação
-51.75,3.0833333333333357,0,ssp126,Sem extrapolação
-51.583333333333336,3.0833333333333357,0,ssp126,Sem extrapolação
-51.41666666666667,3.0833333333333357,0,ssp126,Sem extrapolação
-51.25,3.0833333333333357,0,ssp126,Sem extrapolação
-63.91666666666667,2.916666666666669,1,ssp126,Com extrapolação
-63.75,2.916666666666669,1,ssp126,Com extrapolação
-63.583333333333336,2.916666666666669,1,ssp126,Com extrapolação
-63.41666666666667,2.916666666666669,1,ssp126,Com extrapolação
-63.25,2.916666666666669,1,ssp126,Com extrapolação
-63.083333333333336,2.916666666666669,1,ssp126,Com extrapolação
-62.91666666666667,2.916666666666669,1,ssp126,Com extrapolação
-62.75,2.916666666666669,1,ssp126,Com extrapolação
-62.583333333333336,2.916666666666669,1,ssp126,Com extrapolação
-62.41666666666667,2.916666666666669,1,ssp126,Com extrapolação
-62.25,2.916666666666669,1,ssp126,Com extrapolação
-62.083333333333336,2.916666666666669,1,ssp126,Com extrapolação
-61.91666666666667,2.916666666666669,0,ssp126,Sem extrapolação
-61.75,2.916666666666669,0,ssp126,Sem extrapolação
-61.583333333333336,2.916666666666669,1,ssp126,Com extrapolação
-61.41666666666667,2.916666666666669,0,ssp126,Sem extrapolação
-61.25,2.916666666666669,1,ssp126,Com extrapolação
-61.083333333333336,2.916666666666669,1,ssp126,Com extrapolação
-60.91666666666667,2.916666666666669,1,ssp126,Com extrapolação
-60.75,2.916666666666669,1,ssp126,Com extrapolação
-60.583333333333336,2.916666666666669,1,ssp126,Com extrapolação
-60.41666666666667,2.916666666666669,1,ssp126,Com extrapolação
-60.25,2.916666666666669,1,ssp126,Com extrapolação
-60.083333333333336,2.916666666666669,1,ssp126,Com extrapolação
-52.25,2.916666666666669,0,ssp126,Sem extrapolação
-52.083333333333336,2.916666666666669,0,ssp126,Sem extrapolação
-51.91666666666667,2.916666666666669,0,ssp126,Sem extrapolação
-51.75,2.916666666666669,0,ssp126,Sem extrapolação
-51.583333333333336,2.916666666666669,0,ssp126,Sem extrapolação
-51.41666666666667,2.916666666666669,0,ssp126,Sem extrapolação
-51.25,2.916666666666669,0,ssp126,Sem extrapolação
-63.91666666666667,2.7500000000000027,1,ssp126,Com extrapolação
-63.75,2.7500000000000027,1,ssp126,Com extrapolação
-63.583333333333336,2.7500000000000027,1,ssp126,Com extrapolação
-63.41666666666667,2.7500000000000027,1,ssp126,Com extrapolação
-63.25,2.7500000000000027,1,ssp126,Com extrapolação
